true_strain,true_stress_MPa
0.00,52
0.02,76
0.04,100
0.06,121
0.08,141
0.10,159
0.12,175
0.14,190
0.16,205
0.18,219
0.20,232
0.24,251
0.28,267
0.31,277
0.35,289
0.40,302
0.45,312
0.50,321
0.55,329
0.62,340
0.68,348
0.72,353
0.80,361
0.85,366
0.93,375
1.00,383
