Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy	TwinRealVF	TwinMade	SlipTotal	Basal	Prismatic	Pyr1	Pyr2	Slip_share_Twin
1.16851e-14	6.64838	-0.465025	1.66307e-17	-2.45084e-18	-7.23203e-18	26.3898	110.17	-120.177	-0.854054	1.81008	-0.481786	0.392927	0.190918	4.36508	1.36618	1.22841	1.7705	0	0.0506876
1.17048e-14	6.68421	-0.465199	1.68128e-17	-2.57849e-18	-6.15767e-18	26.4199	110.201	-120.229	-0.85441	1.81067	-0.481766	0.392929	0.190918	4.37324	1.36824	1.23039	1.7746	0	0.0506879
1.17322e-14	6.72023	-0.465373	1.71325e-17	-2.75508e-18	-5.33612e-18	26.4498	110.232	-120.28	-0.854766	1.81128	-0.48176	0.392932	0.190918	4.3814	1.37031	1.23238	1.77871	0	0.0506882
1.17517e-14	6.75642	-0.465545	1.64297e-17	-2.8061e-18	-4.80094e-18	26.4797	110.262	-120.332	-0.855124	1.81189	-0.481769	0.392934	0.190918	4.38956	1.37237	1.23437	1.78282	0	0.0506885
1.17738e-14	6.79279	-0.465717	1.67666e-17	-2.72179e-18	-6.39338e-18	26.5094	110.293	-120.383	-0.855489	1.81253	-0.481797	0.392936	0.190918	4.39771	1.37443	1.23636	1.78693	0	0.0506888
1.17995e-14	6.82935	-0.465888	1.68688e-17	-2.55647e-18	-6.3639e-18	26.5391	110.323	-120.434	-0.855865	1.8132	-0.481852	0.392938	0.190918	4.40587	1.37649	1.23834	1.79104	0	0.050689
1.18199e-14	6.86609	-0.466058	1.70027e-17	-2.52995e-18	-4.35064e-18	26.569	110.353	-120.485	-0.856263	1.81392	-0.481939	0.392941	0.190918	4.41403	1.37855	1.24033	1.79515	0	0.0506893
1.18459e-14	6.90301	-0.466228	1.784e-17	-2.70523e-18	-2.58929e-18	26.599	110.383	-120.536	-0.856687	1.8147	-0.482049	0.392943	0.190918	4.42219	1.38061	1.24231	1.79927	0	0.0506896
1.1872e-14	6.94012	-0.466396	1.69228e-17	-2.68161e-18	-5.18884e-18	26.6293	110.413	-120.587	-0.857138	1.81551	-0.482159	0.392945	0.190918	4.43034	1.38267	1.24429	1.80338	0	0.0506899
1.18946e-14	6.97741	-0.466564	1.71039e-17	-2.62514e-18	-4.04765e-18	26.6599	110.443	-120.638	-0.857608	1.81632	-0.482249	0.392947	0.190918	4.4385	1.38472	1.24627	1.8075	0	0.0506902
1.19145e-14	7.01489	-0.46673	1.68524e-17	-2.70207e-18	-3.87709e-18	26.6906	110.472	-120.689	-0.858093	1.81711	-0.48232	0.392949	0.190918	4.44666	1.38678	1.24826	1.81162	0	0.0506904
1.19359e-14	7.05256	-0.466896	1.7518e-17	-2.65285e-18	-6.49613e-18	26.7213	110.501	-120.74	-0.858586	1.81786	-0.48239	0.392951	0.190918	4.45481	1.38883	1.25024	1.81575	0	0.0506907
1.19593e-14	7.09042	-0.467062	1.76977e-17	-2.65417e-18	-5.56802e-18	26.7519	110.53	-120.791	-0.85909	1.81858	-0.482468	0.392953	0.190918	4.46297	1.39088	1.25221	1.81987	0	0.050691
1.19809e-14	7.12847	-0.467226	1.74094e-17	-2.61578e-18	-5.23171e-18	26.7825	110.559	-120.842	-0.859607	1.81928	-0.482554	0.392955	0.190918	4.47113	1.39294	1.25419	1.824	0	0.0506912
1.2005e-14	7.16671	-0.467389	1.73283e-17	-2.61082e-18	-5.09599e-18	26.813	110.588	-120.892	-0.860141	1.81997	-0.482653	0.392957	0.190918	4.47929	1.39499	1.25617	1.82813	0	0.0506915
1.20285e-14	7.20514	-0.467552	1.72453e-17	-2.6941e-18	-5.28061e-18	26.8433	110.617	-120.943	-0.860691	1.82067	-0.482763	0.392959	0.190918	4.48744	1.39704	1.25815	1.83226	0	0.0506917
1.20528e-14	7.24376	-0.467714	1.70836e-17	-2.6379e-18	-6.22257e-18	26.8735	110.646	-120.993	-0.861255	1.82139	-0.482876	0.392961	0.190918	4.4956	1.39909	1.26012	1.83639	0	0.050692
1.20736e-14	7.28257	-0.467875	1.75579e-17	-2.51752e-18	-6.33725e-18	26.9036	110.675	-121.043	-0.861827	1.82214	-0.482976	0.392963	0.190918	4.50376	1.40114	1.2621	1.84053	0	0.0506922
1.20953e-14	7.32158	-0.468035	1.73589e-17	-2.23969e-18	-7.01254e-18	26.9338	110.704	-121.093	-0.862402	1.82296	-0.483041	0.392965	0.190918	4.51192	1.40318	1.26407	1.84466	0	0.0506925
1.21167e-14	7.36079	-0.468194	1.72963e-17	-2.28245e-18	-6.43082e-18	26.964	110.732	-121.143	-0.862981	1.82389	-0.483073	0.392967	0.190918	4.52007	1.40523	1.26604	1.8488	0	0.0506927
1.21416e-14	7.40019	-0.468353	1.77923e-17	-2.26612e-18	-5.15401e-18	26.9944	110.761	-121.192	-0.863564	1.8249	-0.483072	0.392969	0.190918	4.52823	1.40728	1.26801	1.85294	0	0.050693
1.21624e-14	7.43979	-0.468511	1.76948e-17	-2.23571e-18	-5.83629e-18	27.0247	110.789	-121.242	-0.86414	1.82593	-0.483033	0.39297	0.190918	4.53639	1.40932	1.26999	1.85708	0	0.0506932
1.21819e-14	7.47959	-0.468668	1.77119e-17	-2.19571e-18	-5.32115e-18	27.0551	110.817	-121.292	-0.864707	1.82695	-0.482961	0.392972	0.190918	4.54455	1.41137	1.27196	1.86122	0	0.0506934
1.22021e-14	7.51959	-0.468824	1.69541e-17	-2.05897e-18	-8.16248e-18	27.0855	110.846	-121.341	-0.865262	1.82793	-0.482852	0.392974	0.190918	4.5527	1.41341	1.27392	1.86537	0	0.0506936
1.22255e-14	7.55979	-0.46898	1.71918e-17	-2.01606e-18	-7.52282e-18	27.1159	110.874	-121.391	-0.865801	1.82884	-0.482698	0.392976	0.190918	4.56086	1.41545	1.27589	1.86952	0	0.0506939
1.2248e-14	7.60019	-0.469134	1.63649e-17	-1.97429e-18	-7.33715e-18	27.1463	110.901	-121.44	-0.866324	1.82968	-0.482487	0.392977	0.190918	4.56902	1.41749	1.27786	1.87367	0	0.0506941
1.22663e-14	7.64079	-0.469288	1.68894e-17	-2.07863e-18	-9.54065e-18	27.1767	110.929	-121.489	-0.866831	1.8304	-0.482211	0.392979	0.190918	4.57717	1.41953	1.27983	1.87782	0	0.0506943
1.22881e-14	7.6816	-0.469441	1.68576e-17	-2.2527e-18	-1.20712e-17	27.2072	110.957	-121.539	-0.867324	1.83101	-0.481867	0.392981	0.190918	4.58533	1.42157	1.28179	1.88197	0	0.0506945
1.23113e-14	7.72261	-0.469594	1.63307e-17	-2.21126e-18	-1.07059e-17	27.2379	110.984	-121.588	-0.867807	1.83147	-0.48145	0.392982	0.190918	4.59349	1.42361	1.28376	1.88612	0	0.0506947
1.23309e-14	7.76383	-0.469746	1.62098e-17	-2.37929e-18	-9.17546e-18	27.2687	111.011	-121.637	-0.868286	1.83173	-0.480956	0.392984	0.190918	4.60165	1.42565	1.28572	1.89028	0	0.050695
1.2349e-14	7.80525	-0.469896	1.60423e-17	-2.32839e-18	-9.70457e-18	27.2999	111.038	-121.686	-0.868767	1.83177	-0.480393	0.392986	0.190918	4.6098	1.42768	1.28768	1.89444	0	0.0506952
1.23665e-14	7.84688	-0.470047	1.63981e-17	-2.31205e-18	-9.29209e-18	27.3314	111.065	-121.736	-0.869247	1.83158	-0.479795	0.392987	0.190918	4.61796	1.42972	1.28964	1.8986	0	0.0506954
1.23841e-14	7.88872	-0.470196	1.61703e-17	-2.24765e-18	-9.18028e-18	27.3633	111.091	-121.785	-0.869727	1.83123	-0.479206	0.392989	0.190918	4.62612	1.43175	1.29161	1.90276	0	0.0506956
1.24047e-14	7.93077	-0.470345	1.6694e-17	-2.20254e-18	-7.60936e-18	27.3953	111.117	-121.834	-0.870209	1.83079	-0.478667	0.39299	0.190918	4.63428	1.43379	1.29357	1.90692	0	0.0506958
1.24252e-14	7.97303	-0.470493	1.73942e-17	-2.29046e-18	-7.06767e-18	27.4277	111.143	-121.884	-0.870696	1.83032	-0.478202	0.392992	0.190918	4.64243	1.43582	1.29553	1.91109	0	0.050696
1.24468e-14	8.0155	-0.47064	1.69121e-17	-2.33178e-18	-6.09088e-18	27.4602	111.169	-121.933	-0.871185	1.82982	-0.477817	0.392994	0.190918	4.65059	1.43785	1.29748	1.91526	0	0.0506962
1.24693e-14	8.05819	-0.470786	1.6616e-17	-2.22381e-18	-6.91263e-18	27.4928	111.194	-121.983	-0.871672	1.82927	-0.477499	0.392995	0.190918	4.65875	1.43988	1.29944	1.91942	0	0.0506964
1.24885e-14	8.10109	-0.470932	1.65272e-17	-2.3232e-18	-8.35013e-18	27.5256	111.219	-122.032	-0.872152	1.82865	-0.477223	0.392997	0.190918	4.6669	1.44191	1.3014	1.9236	0	0.0506966
1.25123e-14	8.1442	-0.471077	1.65872e-17	-2.06633e-18	-8.63423e-18	27.5584	111.244	-122.081	-0.872627	1.82798	-0.47695	0.392998	0.190918	4.67506	1.44394	1.30335	1.92777	0	0.0506967
1.25304e-14	8.18753	-0.471221	1.69565e-17	-2.00194e-18	-7.41052e-18	27.5912	111.269	-122.13	-0.873103	1.82723	-0.476652	0.392999	0.190918	4.68322	1.44597	1.30531	1.93194	0	0.0506969
1.25518e-14	8.23108	-0.471365	1.75666e-17	-1.92543e-18	-7.97639e-18	27.6241	111.294	-122.18	-0.873589	1.82637	-0.476311	0.393001	0.190918	4.69138	1.448	1.30726	1.93612	0	0.0506971
1.25757e-14	8.27484	-0.471507	1.74527e-17	-1.91982e-18	-7.27413e-18	27.6571	111.319	-122.229	-0.874088	1.82538	-0.475919	0.393002	0.190918	4.69953	1.45002	1.30921	1.9403	0	0.0506973
1.25946e-14	8.31883	-0.47165	1.76521e-17	-1.59797e-18	-8.2293e-18	27.6901	111.343	-122.278	-0.874597	1.82428	-0.475488	0.393004	0.190918	4.70769	1.45205	1.31117	1.94447	0	0.0506975
