1.00000e+00 ,4.13901e+00 ,7.46505e+00 ,-1.32244e-01 ,
2.57000e+02 ,2.88441e+00 ,-4.56980e+00 ,1.19877e+00 ,
5.13000e+02 ,-1.64178e+00 ,4.37402e+00 ,-1.21477e+00 ,
7.69000e+02 ,-3.28423e-01 ,-6.97701e-01 ,2.63544e+00 ,
1.70000e+01 ,-2.54360e+02 ,1.44855e+02 ,-4.30425e+01 ,
2.73000e+02 ,-1.76746e-01 ,1.58044e-01 ,-5.57138e-01 ,
5.29000e+02 ,2.41837e+00 ,3.94542e+00 ,2.02914e-01 ,
7.85000e+02 ,-9.43451e-01 ,-1.69115e-03 ,6.03798e-01 ,
3.30000e+01 ,3.14026e-01 ,-3.36086e+00 ,-1.49626e+01 ,
2.89000e+02 ,2.12489e-01 ,2.63230e-03 ,5.01721e-01 ,
5.45000e+02 ,-3.90106e-03 ,2.68212e-01 ,-1.81741e-01 ,
8.01000e+02 ,4.93794e+00 ,9.99662e+00 ,2.11056e+00 ,
4.90000e+01 ,8.28004e-01 ,2.30328e+00 ,1.29132e+01 ,
3.05000e+02 ,1.94711e-01 ,-2.31188e-01 ,7.36122e-01 ,
5.61000e+02 ,1.17509e-01 ,-1.27869e-01 ,1.39182e-01 ,
8.17000e+02 ,8.29467e-01 ,-1.15174e+00 ,-2.65812e+00 ,
2.00000e+00 ,-5.01227e+00 ,1.37744e+01 ,3.71256e+00 ,
2.58000e+02 ,6.01933e+00 ,-4.35615e+00 ,1.15941e+00 ,
5.14000e+02 ,-1.75143e-01 ,-3.64934e+00 ,-2.58310e-01 ,
7.70000e+02 ,1.31470e-01 ,-1.07017e-01 ,1.25240e+00 ,
1.80000e+01 ,4.77462e+00 ,2.86558e+00 ,2.11029e+00 ,
2.74000e+02 ,-1.83131e-01 ,-3.29135e-02 ,-4.22754e-02 ,
5.30000e+02 ,-5.54047e+00 ,1.03856e+01 ,1.48227e+00 ,
7.86000e+02 ,-1.25346e+00 ,-8.54139e-01 ,-6.73558e+00 ,
3.40000e+01 ,-4.25784e-01 ,8.08671e-02 ,-1.38381e+00 ,
2.90000e+02 ,-8.03222e-03 ,-3.70492e-01 ,-2.25741e+00 ,
5.46000e+02 ,-3.44285e-01 ,-3.41427e-01 ,-1.55944e+00 ,
8.02000e+02 ,1.07507e+00 ,-5.39491e-01 ,-1.55526e+00 ,
5.00000e+01 ,3.82872e-02 ,-5.32084e-01 ,4.05692e-02 ,
3.06000e+02 ,-4.10817e-01 ,5.29891e-02 ,-1.50580e+00 ,
5.62000e+02 ,5.72213e+03 ,-4.95023e+03 ,6.53853e+03 ,
8.18000e+02 ,2.52131e-01 ,1.04940e+00 ,5.30889e+00 ,
